cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
PROPAMO,6398,PROPAMOCARBE,Propamocarbe,24579-73-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,223,,,,,
METAL,1706,MÉTALAXYLE,Métalaxyle,57837-19-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,240,,,,,
METALM,2987,MÉFÉNOXAM,Méfénoxam,70630-17-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,240,,,,,
NAPR,1519,NAPROPAMIDE,Napropamide,15299-99-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,266,,,,,
PDM,1234,PENDIMÉTHALINE,Pendiméthaline,40487-42-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,277,,,,,
BTZ,1113,BENTAZONE,Bentazone,25057-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,300,,,,,
CLDZ,1133,CHLORIDAZONE,Chloridazone,1698-60-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,300,,,,,
DIMETAC,2546,DIMÉTACHLORE,Dimétachlore,50563-36-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,300,,,,,
CLETHO,2978,CLETHODIME,Clethodime,99129-21-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,355,,,,,
BRMCL,1686,BROMACIL,Bromacil,314-40-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,390,,,,,
CLOMAZO,2017,CLOMAZONE,Clomazone,81777-89-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,400,,,,,
AZOXYST,1951,AZOXYSTROBINE,Azoxystrobine,131860-33-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,400,,,,,
CLOPY,1810,CLOPYRALID,Clopyralid,1702-17-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,450,,,,,
DFF,1814,DIFLUFÉNICANIL,Diflufénicanil,83164-33-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,600,,,,,
AMIDOSU,2012,AMIDOSULFURON,Amidosulfuron,120923-37-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,600,,,,,
PPBTX,1709,PIPERONIL BUTOXIDE,Piperonil butoxide,51-03-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,600,,,,,
MEPIQUA,1969,MEPIQUAT,Mepiquat,15302-91-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,600,,,,,
IMETS,1797,METSULFURON MÉTHYL,Metsulfuron méthyl,74223-64-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,660,,,,,
ETFS,1184,ETHOFUMÉSATE,Ethofumésate,26225-79-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,667,,,,,
DTFC,1402,DIETHOFENCARBE,Diethofencarbe,87130-20-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,950,,,,,
FPYR,1765,FLUROXYPIR,Fluroxypir,69377-81-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2400,,,,,
FPYRM,2547,FLUROXYPIR-MEPTYL,Fluroxypir-meptyl,81406-37-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2400,,,,,
NICOSUL,1882,NICOSULFURON,Nicosulfuron,111991-09-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2780,,,,,
MESOSUL,2578,MÉSOSULFURON-MÉTHYL,Mésosulfuron-méthyl,208465-21-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3000,,,,,
IMAMOX,2986,IMAZAMOX,Imazamox,114311-32-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9000,,,,,
EFOSITE,1975,FOSETYL-ALUMINIUM,Fosetyl-aluminium,39148-24-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9000,,,,,
HCHB,1201,HCH BÉTA,HCH béta,319-85-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.017,,"0,017 (associée à ERI = 10-6)",,,
ANTHRAQ,2013,ANTHRAQUINONE (PESTICIDE),Anthraquinone (pesticide),84-65-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.5,,"0,5 (associée à ERI =  10-6)",,,
IPD,1206,IPRODIONE,Iprodione,36734-19-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.6,,"0,6 (associée à ERI = 10-6)",,,
PROCYM,1664,PROCYMIDONE,Procymidone,32809-16-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.9,,"0,9 (associée à ERI = 10^-6)",,,
ALCL,1101,ALACHLORE,Alachlore,15972-60-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2,,"2 (associée à ERI =
 10-6)",,,
ETDMR,1763,ETHIDIMURON,Ethidimuron,30043-49-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
TAM,1661,TÉBUTAM,Tébutam,35256-85-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
FNUR,1500,FÉNURON,Fénuron,101-42-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
MTBZTZ,1216,MÉTABENZTHIAZURON,Métabenzthiazuron,18691-97-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
SECB,1262,SECBUMÉTON,Secbuméton,26259-45-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
NBR,1520,NÉBURON,Néburon,555-37-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
TFU,1714,THIAZFLURON,Thiazfluron,25366-23-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
LFLAM,1840,FLAMPROP-ISOPROPYL,Flamprop-isopropyl,52756-22-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
CCHOLIN,2977,CHLORURE DE CHOLINE,Chlorure de choline,67-48-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,Absence,,,
METZCL,1670,MÉTAZACHLORE,Métazachlore,67129-08-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTMI,1215,MÉTAMITRONE,Métamitrone,41394-05-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HXZN,1673,HEXAZINONE,Hexazinone,51235-04-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TERBM,1266,TERBUMÉTON,Terbuméton,33693-04-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IXB,1672,ISOXABEN,Isoxaben,82558-50-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCPY,1288,TRICLOPYR,Triclopyr,55335-06-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PCLR,1253,PROCHLORAZE,Prochloraze,67747-09-05,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ODX,1666,OXADIXYL,Oxadixyl,77732-09-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EPOXCZ,1744,EPOXYCONAZOLE,Epoxyconazole,133855-98-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PMC,1528,PYRIMICARBE,Pyrimicarbe,23103-98-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
GPST,1506,GLYPHOSATE,Glyphosate,1071-83-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRMTN,1432,PYRIMÉTHANIL,Pyriméthanil,53112-28-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CPCNZ,1680,CYPROCONAZOL,Cyproconazol,94361-06-05,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
METCONA,1879,METCONAZOL,Metconazol,125116-23-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DTERB,1176,DINOTERBE,Dinoterbe,1420-07-01,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
QUINMR,2087,QUIMERAC,Quimerac,90717-03-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUDIOX,2022,FLUDIOXONIL,Fludioxonil,131341-86-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
LNCE,1406,LENACILE,Lenacile,01/08/2164,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CNPA,1688,ACLONIFEN,Aclonifen,74070-46-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYINE,1140,CYPERMÉTHRINE,Cyperméthrine,52315-07-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ORZ,1668,ORYZALIN,Oryzalin,19044-88-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BRXY,1125,BROMOXYNIL,Bromoxynil,1689-84-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCNZ,1660,TÉTRACONAZOLE,Tétraconazole,112281-77-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPIROX,2664,SPIROXAMINE,Spiroxamine,118134-30-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLURTAM,2008,FLURTAMONE,Flurtamone,96525-23-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IODOSU,6483,IODOSULFURON-METHYL-SODIUM,Iodosulfuron-methyl-sodium,144550-36-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIFENOC,1905,DIFÉNOCONAZOLE,Difénoconazole,119446-68-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ALDR,1103,ALDRINE,Aldrine,309-00-2,pesticide,sub_active,,0.03,µg/L,Limite de qualité réglementaire pour la substance active aldrine,,,,,,
AMTH,1104,AMÉTHRYNE,Améthryne,0834-12-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BENOXA,2074,BENOXACOR,Benoxacor,98730-04-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HCHD,1202,HCH DELTA,HCH delta,319-86-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HEP,1197,HEPTACHLORE,Heptachlore,76-44-8,pesticide,sub_active,,0.03,µg/L,Limite de qualité réglementaire pour la substance active heptachlore,,,,,,
HEOD,1173,DIELDRINE,Dieldrine,60-57-1,pesticide,sub_active,,0.03,µg/L,Limite de qualité réglementaire pour la substance active dieldrine,,,,,,
HCHA,1200,HCH ALPHA,HCH alpha,319-84-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACET,5579,ACÉTAMIPRID,Acétamiprid,135410-20-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRIF,1289,TRIFLURALINE,Trifluraline,1582-09-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FIPRO,2009,FIPRONIL,Fipronil,120068-37-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLMQ,5554,CHLORMEQUAT,Chlormequat,7003-89-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CPPH,1474,CHLORPROPHAME,Chlorprophame,101-21-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SULFRN,2085,SULFOSULFURON,Sulfosulfuron,141776-32-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYCLOXY,2729,CYCLOXYDIME,Cycloxydime,101205-02-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MNR,1228,MONURON,Monuron,150-68-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DNOC,1490,DINITROCRÉSOL,Dinitrocrésol,534-52-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIMTH,1175,DIMÉTHOATE,Diméthoate,60-51-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBTR,1542,THÉBUTHIURON,Thébuthiuron,34014-18-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CHLPM,1540,CHLORPYRIPHOS MÉTHYL,Chlorpyriphos méthyl,5598-13-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCFL,1172,DICOFOL,Dicofol,115-32-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLOT,6389,CLOTHIANIDINE,Clothianidine,210880-92-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRAC,2576,PYRACLOSTROBINE,Pyraclostrobine,175013-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DDT44,1148,"DDT-4,4'","DDT-4,4'",50-29-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENBUCO,1906,FENBUCONAZOLE,Fenbuconazole,114369-43-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIAMET,6390,THIAMETHOXAM,Thiamethoxam,153719-23-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYROX,7340,PYROXSULAME,Pyroxsulame,422556-08-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
QUINOXY,2028,QUINOXYFEN,Quinoxyfen,124495-18-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IMATMET,1911,IMAZAMÉTHABENZ-MÉTHYL,Imazaméthabenz-méthyl,81405-85-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRT,1523,PERMÉTHRINE,Perméthrine,52645-53-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SEBUT,1923,SÉBUTHYLAZINE,Sébuthylazine,7286-69-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MYCLOSS,1881,MYCLOBUTANIL,Myclobutanil,88671-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FORASUL,2806,FORAMSULFURON,Foramsulfuron,173159-57-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMTRY,1155,DESMÉTRYNE,Desmétryne,1014-69-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRINEXA,2096,TRINÉXAPAC-ÉTHYL,Trinéxapac-éthyl,95266-40-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRIFLX,2678,TRIFLOXYSTROBINE,Trifloxystrobine,141517-21-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DTINE,1149,DELTAMÉTHRINE,Deltaméthrine,52918-63-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYBUT,1935,CYBUTRYNE,Cybutryne,28159-98-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIACLO,5671,THIACLOPRIDE,Thiaclopride,111988-49-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
KRESOXI,1950,KRESOXIM-MÉTHYLE,Kresoxim-méthyle,143390-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HCHTOT4,5537,HCH ALPHA+BETA+DELTA+GAMMA,HCH alpha+beta+delta+gamma,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CANT,7500,CHLORANTRANILIPROLE,Chlorantraniliprole,500008-45-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BFNX,1119,BIFENOX,Bifenox,42576-02-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TLL,1281,TRIALLATE,Triallate,2303-17-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DDT24,1147,"DDT-2,4'","DDT-2,4'",0789-02-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLOAMD,6393,FLONICAMIDE,Flonicamide,158062-67-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FTFL,1503,FLUTRIAFOL,Flutriafol,76674-21-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
245T,1264,"2,4,5-T","2,4,5-T",93-76-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BFLN,1112,BENFLURALINE,Benfluraline,1861-40-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENOXY,1967,FENOXYCARBE,Fenoxycarbe,79127-80-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIQUAT,1699,DIQUAT,Diquat,2764-72-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLORAS,2810,FLORASULAM,Florasulam,145701-23-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CBRYL,1463,CARBARYL,Carbaryl,63-25-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CHINE,1094,LAMBDA CYHALOTHRINE,Lambda Cyhalothrine,91465-08-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPB,1213,"2,4-MCPB","2,4-MCPB",94-81-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BFINE,1120,BIFENTHRINE,Bifenthrine,82657-04-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRSULFM,2991,TRIFLUSULFURON-METHYL,Triflusulfuron-methyl,126535-15-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PACLOBU,2545,PACLOBUTRAZOLE,Paclobutrazole,76738-62-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TDMF,1544,TRIADIMÉFON,Triadiméfon,43121-43-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PARTH,1232,PARATHION ÉTHYL,Parathion éthyl,56-38-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTZ,1222,MÉTOXURON,Métoxuron,19937-59-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OXYFLUO,1952,OXYFLUORFENE,Oxyfluorfene,42874-03-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DFB,1488,DIFLUBENZURON,Diflubenzuron,35367-38-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TEFLUTH,1953,TEFLUTHRINE,Tefluthrine,79538-32-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EPROP,1495,ETHOPROPHOS,Ethoprophos,13194-48-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ASULAME,1965,ASULAME,Asulame,3337-71-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
METRAF,5654,METRAFENONE,Metrafenone,220899-03-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BIX,7345,BIXAFEN,Bixafen,581809-46-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ENDOT,1743,ENDOSULFAN TOTAL,Endosulfan total,115-29-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ZOXAMID,2858,ZOXAMIDE,Zoxamide,156052-68-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BAX,1687,BÉNALAXYL,Bénalaxyl,71626-11-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PENCYCU,1887,PENCYCURON,Pencycuron,66063-05-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRITO,7087,TRITOSULFURON,Tritosulfuron,142469-14-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRMM,1261,PYRIMIPHOS MÉTHYL,Pyrimiphos méthyl,29232-93-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUAZB,1825,FLUAZIFOP BUTYL,Fluazifop butyl,69806-50-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
